1.553	1024998		1st column 	Thrust (lbf)
1.553	1025014		2nd column	Time (ms)
1.618	1025031			
1.553	1025048			
1.553	1025064			
1.553	1025081			
1.553	1025097			
1.553	1025114			
1.553	1025131			
1.553	1025147			
1.553	1025164			
1.553	1025181			
1.553	1025197			
1.553	1025214			
1.553	1025231			
1.553	1025247			
1.553	1025264			
1.553	1025281			
1.553	1025297			
1.553	1025314			
1.553	1025330			
1.553	1025347			
1.553	1025364			
1.488	1025380			
1.488	1025397			
1.488	1025414			
1.488	1025430			
1.553	1025447			
1.553	1025464			
1.553	1025480			
1.553	1.03E+11			
1.553	1025946			
1.488	1025963			
1.553	1025979			
1.553	1025996			
1.488	1026013			
1.488	1026029			
1.488	1026046			
1.553	1026063			
1.553	1026079			
1.553	1026096			
1.553	1026113			
1.553	1026129			
1.553	1026146			
1.553	1026162			
1.488	1026179			
1.488	1026196			
1.553	1026212			
1.553	1026229			
1.553	1026246			
1.553	1026262			
1.488	1026279			
1.488	1026296			
1.488	1026312			
1.553	1026329			
1.553	1026345			
1.553	1026362			
1.488	1026379			
1.553	1026395			
1.553	1026412			
1.488	1026429			
1.553	1026445			
1.488	1026462			
1.488	1026479			
1.553	1026495			
1.488	1026512			
1.553	1026529			
1.553	1026545			
1.553	1026562			
1.488	1026578			
1.488	1026595			
1.553	1026612			
1.553	1026628			
1.553	1026645			
1.682	1026662			
1.553	1026678			
1.488	1026695			
1.488	1026712			
1.553	1026728			
1.553	1026745			
1.553	1026761			
1.488	1026778			
1.553	1026795			
1.553	1026811			
1.488	1026828			
1.488	1026845			
1.553	1026861			
1.553	1026878			
1.488	1026895			
1.488	1026911			
1.488	1026928			
1.553	1026945			
1.553	1026961			
1.553	1026978			
1.488	1026994			
1.488	1027011			
1.488	1027028			
1.553	1027044			
1.553	1027061			
1.488	1027078			
1.553	1027094			
1.488	1027111			
1.553	1027128			
1.488	1027144			
1.488	1027161			
1.553	1027177			
1.553	1027194			
1.553	1027211			
1.488	1027227			
1.553	1027244			
1.553	1027261			
1.488	1027277			
1.488	1027294			
1.553	1027311			
1.553	1027327			
1.488	1027344			
1.488	1027361			
1.553	1027377			
1.553	1027394			
1.553	1027410			
1.553	1027427			
1.488	1027444			
1.553	1027460			
1.488	1027477			
1.488	1027494			
1.488	1027510			
1.488	1027527			
1.488	1027544			
1.488	1027560			
1.488	1027577			
1.553	1027593			
1.553	1027610			
1.488	1027627			
1.488	1027643			
1.488	1027660			
1.488	1027677			
1.488	1027693			
1.553	1027710			
1.553	1027727			
1.488	1027743			
1.553	1027760			
1.553	1027777			
1.488	1027793			
1.488	1027810			
1.553	1027826			
1.488	1027843			
1.488	1027860			
1.488	1027876			
1.488	1027893			
1.488	1027910			
1.553	1027926			
1.553	1027943			
1.553	1027960			
1.553	1027976			
1.488	1027993			
1.488	1028009			
1.553	1028026			
1.488	1028043			
1.488	1028059			
1.553	1028076			
1.359	1028093			
1.488	1028109			
1.553	1028126			
1.488	1028143			
1.553	1028159			
1.553	1028176			
1.488	1028193			
1.553	1028209			
1.488	1028226			
1.553	1028242			
1.488	1028259			
1.488	1028276			
1.553	1028292			
1.488	1028309			
1.488	1028326			
1.488	1028342			
1.488	1028359			
1.488	1028376			
1.488	1028392			
1.488	1028409			
1.488	1028425			
1.488	1028442			
1.488	1028459			
1.553	1028475			
1.488	1028492			
1.488	1028509			
1.488	1028525			
1.488	1028542			
1.488	1028559			
1.553	1028575			
1.553	1028592			
1.553	1028609			
1.488	1028625			
1.488	1028642			
1.488	1028658			
1.488	1028675			
1.553	1028692			
1.553	1028708			
1.618	1028725			
1.488	1028742			
1.488	1028758			
1.488	1028775			
1.488	1028792			
1.553	1028808			
1.488	1028825			
1.488	1028841			
1.488	1028858			
1.488	1028875			
1.488	1028891			
